,t1,t3,e1,e3,best fitness,,,,,
55,0.501728447,0.501297286,0.898242441,0.902373389,2.07E-05,,0.003456894,0.002594571,0.001952844,0.002637098
56,0.501728447,0.501297286,0.898242441,0.902373389,2.07E-05,,0.003456894,0.002594571,0.001952844,0.002637098
57,0.500740088,0.501111408,0.901930513,0.897484016,8.90E-06,,0.001480175,0.002222817,0.002145014,0.002795538
58,0.500740088,0.501111408,0.901930513,0.897484016,8.97E-06,,0.001480175,0.002222817,0.002145014,0.002795538
59,0.500389689,0.500944639,0.901089972,0.89626971,6.42E-06,,0.000779379,0.001889278,0.00121108,0.004144767
60,0.499791913,0.499227666,0.901685531,0.903536404,4.91E-06,,0.000416175,0.001544667,0.001872812,0.003929337
61,0.499377787,0.500819145,0.899301877,0.900292505,4.85E-06,,0.001244425,0.001638291,0.000775692,0.000325006
62,0.499791913,0.499227666,0.901685531,0.903536404,4.91E-06,,0.000416175,0.001544667,0.001872812,0.003929337
63,0.499377787,0.500819145,0.899301877,0.900292505,4.85E-06,,0.001244425,0.001638291,0.000775692,0.000325006
64,0.499682821,0.50006086,0.90483191,0.900137766,5.39E-06,,0.000634359,0.000121719,0.005368789,0.000153073
65,0.500389689,0.500944639,0.901089972,0.897656759,4.98E-06,,0.000779379,0.001889278,0.00121108,0.002603601
66,0.499791913,0.499227666,0.901200119,0.903536404,4.62E-06,,0.000416175,0.001544667,0.001333466,0.003929337
67,0.49955543,0.500718817,0.902091887,0.899078634,3.51E-06,,0.00088914,0.001437634,0.002324319,0.001023741
68,0.499682821,0.50006086,0.899550073,0.89681685,2.89E-06,,0.000634359,0.000121719,0.000499919,0.003536833
69,0.500126145,0.500904803,0.899134812,0.898263834,3.53E-06,,0.000252289,0.001809606,0.00096132,0.001929073
70,0.499820438,0.500448773,0.897251747,0.900223792,3.07E-06,,0.000359124,0.000897546,0.003053615,0.000248658
71,0.499820438,0.500448773,0.897251747,0.900223792,3.07E-06,,0.000359124,0.000897546,0.003053615,0.000248658
72,0.499671692,0.500342823,0.899301877,0.900581449,1.33E-06,,0.000656615,0.000685645,0.000775692,0.000646054
73,0.500195769,0.499728907,0.897251747,0.900278314,2.03E-06,,0.000391539,0.000542186,0.003053615,0.000309238
74,0.499825967,0.499547477,0.900465126,0.900485894,9.13E-07,,0.000348066,0.000905046,0.000516807,0.000539882
75,0.499825967,0.499547477,0.900465126,0.900485894,9.13E-07,,0.000348066,0.000905046,0.000516807,0.000539882
76,0.499825967,0.499547477,0.900465126,0.900485894,9.13E-07,,0.000348066,0.000905046,0.000516807,0.000539882
77,0.499872672,0.500383251,0.899812008,0.900297814,7.66E-07,,0.000254656,0.000766503,0.00020888,0.000330904
78,0.500258935,0.50006086,0.899550073,0.900785831,4.50E-07,,0.000517869,0.000121719,0.000499919,0.000873146
79,0.50035585,0.499958314,0.899489623,0.899709638,5.33E-07,,0.0007117,8.33719E-05,0.000567085,0.000322625
80,0.500105208,0.500102028,0.899968526,0.900486649,1.63E-07,,0.000210416,0.000204055,3.49712E-05,0.000540721
81,0.500058808,0.500102028,0.899968526,0.899346246,1.28E-07,,0.000117616,0.000204055,3.49712E-05,0.000726394
82,0.500098561,0.50006086,0.899550073,0.900369176,1.25E-07,,0.000197121,0.000121719,0.000499919,0.000410195
83,0.500098561,0.50006086,0.899550073,0.900369176,1.25E-07,,0.000197121,0.000121719,0.000499919,0.000410195
84,0.499991894,0.50017702,0.899550073,0.899615246,1.84E-07,,1.62116E-05,0.000354041,0.000499919,0.000427505
85,0.500098561,0.50006086,0.899550073,0.900369176,1.25E-07,,0.000197121,0.000121719,0.000499919,0.000410195
86,0.500098561,0.50006086,0.899550073,0.900369176,1.25E-07,,0.000197121,0.000121719,0.000499919,0.000410195
87,0.500058808,0.500102028,0.899968526,0.899346246,1.28E-07,,0.000117616,0.000204055,3.49712E-05,0.000726394
88,0.50000146,0.500023409,0.90034267,0.899545376,7.58E-08,,2.92015E-06,4.68183E-05,0.000380744,0.000505138
89,0.500060818,0.50006086,0.899550073,0.900056566,6.84E-08,,0.000121636,0.000121719,0.000499919,6.28506E-05
