,第0次实验,第1次实验,第2次实验
66,9.086426786443226e-11,2.92469663594716e-09,4.6461660276810227e-10
67,6.531908509666212e-11,3.654309922846579e-09,4.126824408286718e-10
68,6.531908509666212e-11,2.92469663594716e-09,4.694092403174057e-10
69,2.2340577804122107e-11,2.5659514908274172e-09,1.1895410229776174e-09
70,2.2340577804122107e-11,5.359615233664662e-09,1.5413282953931554e-10
71,3.752487499351916e-11,3.682724619787495e-11,4.3216319044419407e-11
72,7.512980288357127e-12,7.037517187949573e-10,4.3216319044419407e-11
73,1.0120162113024852e-12,2.150566933588177e-09,2.4786668352465657e-11
74,9.444795185454398e-12,3.682724619787495e-11,4.3216319044419407e-11
75,4.29679194960618e-12,7.037517187949573e-10,4.3216319044419407e-11
76,1.0120162113024852e-12,3.277713413678344e-10,1.4841331308626e-11
77,1.0120162113024852e-12,7.037517187949573e-10,1.4526916424258773e-11
78,5.342220224546759e-12,2.2018585299235058e-11,1.259023459718369e-11
79,1.0120162113024852e-12,2.2018585299235058e-11,1.259023459718369e-11
80,1.0120162113024852e-12,3.277713413678344e-10,1.1687393504811249e-11
81,8.985692571364881e-14,2.2018585299235058e-11,1.1687393504811249e-11
82,6.40692624113588e-14,2.2018585299235058e-11,1.1687393504811249e-11
83,4.9107529817281274e-14,2.2018585299235058e-11,1.1687393504811249e-11
84,6.40692624113588e-14,1.256155411265593e-11,4.298844071397294e-12
85,1.2129306804264555e-13,1.256155411265593e-11,1.9995172172174166e-12
86,4.9107529817281274e-14,1.256155411265593e-11,5.68156160493307e-14
87,9.164701382479052e-14,1.627006910488479e-14,5.68156160493307e-14
88,6.40692624113588e-14,1.1292418536812567e-11,1.9995172172174166e-12
89,6.40692624113588e-14,1.627006910488479e-14,5.68156160493307e-14
90,4.9107529817281274e-14,1.627006910488479e-14,7.680860063145974e-13
91,2.9695202756967323e-14,1.627006910488479e-14,5.68156160493307e-14
92,2.9695202756967323e-14,1.1292418536812567e-11,1.341962528131111e-13
93,5.675713965275776e-15,6.617620373584992e-12,5.68156160493307e-14
94,5.675713965275776e-15,1.627006910488479e-14,5.68156160493307e-14
95,5.675713965275776e-15,1.627006910488479e-14,1.4176449252818146e-12
96,1.4793384607364353e-14,7.017726691066858e-12,5.68156160493307e-14
97,1.2743370568390997e-14,1.627006910488479e-14,1.4176449252818146e-12
98,1.177024997483169e-15,7.017726691066858e-12,6.185951702567909e-13
99,3.4799160495710974e-15,2.1515847787081254e-12,4.7798919613753955e-14
