,第0次实验,第1次实验,第2次实验
0,0.3775000910706724,0.2624066581486285,0.5367587838857235
1,0.5297353248035942,0.522234228580498,0.5367587838857235
2,0.5297353248035942,0.4179783783627864,0.5334176043202108
3,0.5297353248035942,0.5319334117314926,0.5334176043202108
4,0.4943152825081816,0.5335208515966436,0.475688700448672
5,0.4943152825081816,0.5319334117314926,0.5367587838857235
6,0.5002575649173255,0.4861783534437651,0.475688700448672
7,0.4943152825081816,0.5319334117314926,0.475688700448672
8,0.4943152825081816,0.4638646660962512,0.475688700448672
9,0.4943152825081816,0.4861783534437651,0.475688700448672
10,0.5032070051292581,0.5200469254766564,0.5367587838857235
11,0.5002575649173255,0.5200469254766564,0.532803579686423
12,0.5099842981157721,0.5085269399590513,0.489407547702313
13,0.500849268056099,0.5085269399590513,0.48446393376201746
14,0.49959650248813714,0.4789681487432698,0.489407547702313
15,0.5099842981157721,0.52617341897269,0.48742994560266273
16,0.500849268056099,0.4777303498682445,0.5024220441263442
17,0.500849268056099,0.4777303498682445,0.508752971555671
18,0.500849268056099,0.4777303498682445,0.5024220441263442
19,0.500849268056099,0.4777303498682445,0.5024220441263442
20,0.500849268056099,0.49922822129413374,0.5024220441263442
21,0.5017322850232918,0.49922822129413374,0.5046002397589384
22,0.5011069708135882,0.49922822129413374,0.5046002397589384
23,0.5001119080031158,0.49922822129413374,0.5006597405982662
24,0.5001119080031158,0.49581720171586807,0.49553018690341133
25,0.5000279879934628,0.49922822129413374,0.4980292748572115
26,0.5000279879934628,0.49922822129413374,0.4993228716900498
27,0.5017322850232918,0.49922822129413374,0.4993228716900498
28,0.5000279879934628,0.49482745487153373,0.4980292748572115
29,0.5002575649173255,0.49922822129413374,0.4980292748572115
30,0.5002575649173255,0.5000675045980534,0.4980292748572115
31,0.49959650248813714,0.49922822129413374,0.5006597405982662
32,0.49959650248813714,0.5000675045980534,0.5006597405982662
33,0.49959650248813714,0.5000675045980534,0.5006597405982662
34,0.49959650248813714,0.49922822129413374,0.4995718113272233
